College Name,College Code,Cources,Admission Criteria,Hostel Facilities,Hostel Fees (INR/year),Transport facilily,Tuition Fee (INR/year),Highest Package(LPA),Average Package (LPA),Companies visited,Entry Requirements,Deadlines,Application Procedure,Contact Email,Location,college overview
Indian Institute of Technology Hyderabad (IIT-H),IITH,"Btech, Mtech",JEE Advanced (for B.Tech),Available ,"1,50,000",No facility,225000,90,22.5,"Google, Microsoft, Amazon, Goldman Sachs, Adobe, Samsung Research, Deloitte, Intel, Tata Consultancy Services (TCS), Accenture, Cognizant Technology Solutions (CTS), IBM",JEE Advanced Rank,April-May,Apply through JEE Advanced portal,dean.admissions@iith.ac.in,"Kandi, Sangareddy, Telangana 502285","Established in 2008, NAAC-accredited IIT Hyderabad ranks in NIRF's top 10. Located in Sangareddy, it emphasizes cutting-edge research. Its annual fest, Elan & ηVision, celebrates innovation through tech competitions, workshops, and cultural performances. Chairman: Prof. B.S. Murty."
Osmania University College of Engineering (OUCE),OUCE,"Btech, Mtech, MBA",EAMCET (for B.Tech),Available ,"1,00,000",No facility,125000,17,2," TCS, Infosys, Wipro, Accenture, Cognizant, IBM, Tech Mahindra, Deloitte, HCL Technologies, Mindtree, Amazon",EAMCET Rank,March-April,Apply through EAMCET website,principal@ouce.ac.in,"Osmania University Campus, Hyderabad, Telangana 500007","Founded in 1929, OUCE holds NAAC A-grade and ranks highly in NIRF. Located in Hyderabad, the college hosts Aagama, a celebrated cultural and technical fest drawing participants for robotics, coding challenges, and cultural events. Chairman: Prof. P. Chandra Sekhar."
International Institute of Information Technology Hyderabad (IIIT-H),IIITH,"Btech, Mtech, MBA",JEE Main (for B.Tech),Available ,200000,No facility,225000,102,23.2,"Google, Microsoft, Amazon, Facebook, Uber, Salesforce, Adobe, Apple, Oracle, Infosys, Accenture, NVIDIA",JEE Main Scorecard,January-February,Apply through IIITH's official portal,admissions@iiit.ac.in,"Gachibowli, Hyderabad, Telangana 500032","Established in 1998, IIIT-H, known for research excellence, ranks in NIRF's top 100. It hosts Felicity, a renowned tech-cultural fest featuring coding marathons, debates, gaming, and arts, fostering innovation. Chairman: Prof. Ashok Jhunjhunwala."
Chaitanya Bharathi Institute of Technology (CBIT),CBIT,"Btech, MBA",EAMCET (for B.Tech),Available ,100000,No facility,125000,44,14.5,"TCS, Cognizant, Accenture, Infosys, Wipro, Tech Mahindra, Mindtree, Deloitte, HCL Technologies, Amazon",EAMCET Rank,March-April,Apply through EAMCET website,principal@cbits.ac.in,"Gandipet, Hyderabad, Telangana 500075","Established in 1979, CBIT is NAAC-accredited and ranks in NIRF’s top 150. Located in Gandipet, it organizes Shruti, featuring tech competitions, cultural showcases, and career-oriented workshops, making it popular in Hyderabad. Chairman: Sri. N. Subash."
Vasavi College of Engineering,VASV,"Btech, MBA",EAMCET (for B.Tech),Available,100000,By Bus,125000,44,7,"TCS, Infosys, Accenture, Cognizant, Wipro, HCL Technologies, Tech Mahindra, Deloitte, Amazon, Capgemini",EAMCET Rank,March-April,Apply through EAMCET website,info@vasavi.ac.in,"Ibrahimpatnam, Hyderabad, Telangana 501510","Founded in 1981, Vasavi College holds NAAC A-grade status and ranks in NIRF’s top 200. Situated in Ibrahimbagh, it hosts Euphoria, a festival with tech events, cultural performances, and academic contests. Chairman: Sri Gudivada Meher Prasad."
Maturi Venkata Subba Rao (MVSR) Engineering College,MVSR,"Btech, MBA",EAMCET (for B.Tech),Available ,110000,By Bus,125000,31,5,"TCS, Wipro, Infosys, Accenture, Cognizant, HCL Technologies, Capgemini, Mindtree, Deloitte, IBM",EAMCET Rank,March-April,Apply through EAMCET website,info@mvsrec.edu.in,"Nadergul, Hyderabad, Telangana 501510","Established in 1981, MVSR is NAAC-accredited, known for quality education and hosting Nirvana, an annual fest with workshops, coding challenges, cultural nights, and more. Located in Hyderabad. Chairman: PVR Kashyap."
Sreenidhi Institute of Science and Technology (SNIST),SNIST,"Btech, MBA",EAMCET (for B.Tech),Available ,100000,By Bus,125000,38,4,"TCS, Infosys, Cognizant, Accenture, Wipro, Tech Mahindra, Mindtree, Deloitte, HCL Technologies, Amazon",EAMCET Rank,March-April,Apply through EAMCET website,admissions@sreenidhi.edu.in,"Malkajgiri, Hyderabad, Telangana 500047","Founded in 1997, SNIST holds NAAC A-grade and NIRF top 200 rankings. Located in Ghatkesar, it organizes Innovision, a tech fest showcasing robotics, hackathons, and cultural activities. Chairman: Dr. Katikaneni Taher Mahhe."
Jawaharlal Nehru Technological University Hyderabad (JNTUH),JNTUH,"Btech, MBA",EAMCET (for B.Tech),Available ,100000,No facility,125000,45,3,"TCS, Cognizant, Infosys, Wipro, Accenture, Deloitte, HCL Technologies, Tech Mahindra, Mindtree, Amazon",EAMCET Rank,March-April,Apply through EAMCET website,admissions@jntuh.ac.in,"kukatpally , Hyderabad, Telangana 500085","Established in 1972, JNTUH is NAAC A-grade and consistently ranks in NIRF’s top tier. Its annual event, Tech Fest, combines technical workshops, coding competitions, and cultural performances. Chairman: Prof. Katta Narasimha Reddy."
Keshav Memorial Institute of Technology (KMIT),KMIT,"Btech, MBA",EAMCET (for B.Tech),Available,150000,By Bus,125000,38,4,"TCS, Cognizant, Infosys, Wipro, Accenture, Deloitte, Mindtree, HCL Technologies, Amazon",EAMCET Rank,March-April,Apply through EAMCET website,principal@kmit.ac.in,"Narayanguda, Hyderabad, Telangana 500029","Established in 2007, KMIT is NAAC-accredited and holds an excellent academic reputation. Its Techsploration fest includes coding competitions, robotics challenges, and cultural events, attracting student talent. Chairman: Mr. Nitin Sahasrabudhe."
CMR Technical Campus,CMRG,"Btech, MBA",EAMCET (for B.Tech),Available,150000,By Bus,150000,58,8,"TCS, Infosys, Cognizant, Accenture, Wipro, Tech Mahindra, Mindtree, Deloitte, HCL Technologies, Capgemini",EAMCET Rank,March-April,Apply through EAMCET website,admissions@cmrtc.ac.in," Kandlakoya, Medchal, Hyderabad, Telangana 501401","Founded in 2009, CMR-TC is NAAC-accredited with an emphasis on technical education. Located in Medchal, it hosts Resonance, a fest combining tech expos, coding challenges, and cultural programs. Chairman: Sri C. Gopal Reddy."
CMR Institute of Technology (CMRIT),CMRIT,"Btech, MBA",EAMCET (for B.Tech),Available,100000,By Bus,150000,60,5,"TCS, Infosys, Cognizant, Accenture, Wipro, HCL Technologies, Deloitte, Mindtree, Amazon, Tech Mahindra",EAMCET Rank,March-April,Apply through EAMCET website,admissions@cmrit.ac.in,"Kandlakoya, Medchal, Hyderabad, Telangana 501401","Established in 2005, CMRIT, NAAC-accredited, is known for its tech and cultural fest, Ebullience, featuring coding, robotics, and cultural activities, enhancing student engagement. Located in Hyderabad. Chairman: Ch. Narasimha Reddy."
CMR Engineering College (CMREC),CMREC,"Btech, MBA",EAMCET (for B.Tech),Available,100000,By Bus,150000,70,6,"TCS, Infosys, Cognizant, Accenture, Wipro, Tech Mahindra, Deloitte, Mindtree, HCL Technologies",EAMCET Rank,March-April,Apply through EAMCET website,info@cmrec.ac.in," Kandlakoya, Medchal, Hyderabad, Telangana 501401","Founded in 2010, CMREC is NAAC-accredited and focuses on quality engineering programs. Its annual event, InfinITy, showcases tech skills, gaming, and cultural performances. Located in Kandlakoya. Chairman: Sri. Ch. Narasimha Reddy."
Mallareddy Institute of Technology & Management (MRITM),MRIT,"Btech, MBA",EAMCET (for B.Tech),Available,100000,By Bus,150000,30,2.5," TCS, Cognizant, Infosys, Wipro, Accenture, Deloitte, HCL Technologies, Mindtree, Tech Mahindra",EAMCET Rank,March-April,Apply through EAMCET website,admissions@mritm.ac.in,"Maisammaguda, Hyderabad, Telangana 500062","Established in 2008, NAAC-accredited MRITM hosts Mrittika, featuring tech expos, coding, cultural competitions, and sports. Located in Maisammaguda. Chairman: MARRI LAXMAN REDDY."
Hyderabad Institute of Technology and Management (HITAM),HITAM,"Btech, MBA",EAMCET (for B.Tech),Available,100000,By Bus,150000,40,5,"TCS, Infosys, Cognizant, Wipro, Accenture, HCL Technologies, Deloitte, Mindtree, Tech Mahindra",EAMCET Rank,March-April,Apply through EAMCET website,info@hitam.in,"Gandimaisamma,Hyderabad, Telangana 501401","Founded in 2001, HITAM is NAAC-accredited and located in Medchal. It organizes Yuvatarang, a fest featuring tech showcases, robotics contests, and cultural activities. Chairman: Arutla Prashanth."
GITAM (Gandhi Institute of Technology and Management) Hyderabad,GITAMH,"Btech, Mtech, MBA",EAMCET (for B.Tech),Available,110000,By Bus,200000,60,8,"TCS, Infosys, Cognizant, Wipro, Accenture, HCL Technologies, Deloitte, Mindtree, Amazon, Tech Mahindra",EAMCET Rank,March-April,Apply through EAMCET website,admissions@gitam.edu," Rudraram, Patancheru, Hyderabad, Telangana 502300","Established in 2009, GITAM Hyderabad is NAAC A++-accredited. Its annual GUSAC Carnival combines tech, entrepreneurship, and cultural performances. Located in Hyderabad. Chairman: Dr. M. V. V. S. Murthi."
Institute of Aeronautical Engineering (IARE),IARE,"Btech, MBA",EAMCET (for B.Tech),Available,100000,By Bus,150000,80,12,"TCS, Infosys, Cognizant, Wipro, Accenture, HCL Technologies, Deloitte, Mindtree, Tech Mahindra",EAMCET Rank,March-April,Apply through EAMCET website,admissions@iare.ac.in,"Dundigal, Hyderabad, Telangana 500043","Founded in 2000, NAAC-accredited IARE is among NIRF’s top 200. Its tech fest, Astra, features aeromodelling, hackathons, and cultural events. Located in Dundigal. Chairman: M Rajashekar Reddy."
Malla Reddy College of Engineering & Technology (MRCET),MRCET,"Btech, MBA",EAMCET (for B.Tech),Available,100000,By Bus,150000,45,5,"TCS, Infosys, Cognizant, Wipro, Accenture, HCL Technologies, Deloitte, Mindtree, Tech Mahindra",EAMCET Rank,March-April,Apply through EAMCET website,info@mrcet.ac.in,"Dhulapally, Hyderabad, Telangana 500100","Established in 2005, MRCET holds NAAC A-grade and hosts Technozion, an event with tech competitions, seminars, and cultural shows. Located in Kompally. Chairman: Shri CH. Malla Reddy."
Raghavendra Institute of Pharmaceutical Education and Research,RIPER,"Btech, MBA",TS EAMCET,Available,100000,By Bus,56000,55,4,30,"MBBS: NEET Rank,PG: NEET-PG Qualification",Varies by program,Apply via TS EAMCET followed by counseling,riper-hyd@pharmacy.edu,"Madhapur, Hyderabad, Telangana 500081","Established in 2002, NAAC-accredited and renowned for research in pharmaceuticals. Located in Anantapur, Raghavendra Institute hosts Pharma Utsav, a festival with seminars, workshops, and cultural events focused on pharmacy. Chairman: Dr. A. Surya Prakash."
Stanley College of Pharmacy,SCP,"Btech, MBA",TS EAMCET,Available,100000,By Bus,59000,36,4.2,32,"MBBS: NEET Rank,PG: NEET-PG Qualification",Varies by program,Apply via TS EAMCET followed by counseling,scp-hyd@pharmacy.edu,"Ameerpet, Hyderabad, Telangana 500016","Founded in 2006, Stanley College of Pharmacy is NAAC-accredited and located in Hyderabad. Known for its annual Pharma Fest, featuring research presentations, technical workshops, and cultural programs. Chairman: Dr. Vijayendra Reddy."
University College of Pharmaceutical Sciences,UCPS,"Btech, MBA",TS EAMCET,Available,100000,By Bus,65000,47,5.5,35,"MBBS: NEET Rank,PG: NEET-PG Qualification",Varies by program,Apply via TS EAMCET followed by counseling,ucps@pharmacy.edu,"Kukatpally, Medchal-Malkajgiri, Telangana 500072","Established in 1974 under Kakatiya University, NAAC-accredited and highly ranked in Telangana. Located in Warangal, University College holds Pharma Summit, showcasing pharmaceutical innovations and research talks. Chairman: Dr. P. Nagarjuna Reddy."
Madhavi Pharmacy College,MPC,B.Pharm,TS EAMCET,Available,85000,By Bus,52000,52,4.1,28,"MBBS: NEET Rank,PG: NEET-PG Qualification",Varies by program,Apply via TS EAMCET followed by counseling,madhavi@pharmacy.edu,"Dilsukhnagar, Hyderabad, Telangana 500060","Founded in 2007, NAAC-accredited Madhavi Pharmacy College in Khammam is known for its annual fest MedChem, offering seminars, pharmacology workshops, and cultural events. Chairman: Dr. B. Prabhakar."
Deccan School of Pharmacy,DSOP,B.Pharm,TS EAMCET,Available,130000,By Bus,70000,65,4.7,30,"MBBS: NEET Rank,PG: NEET-PG Qualification",Varies by program,Apply via TS EAMCET followed by counseling,dsop-hyd@pharmacy.edu,"Charminar, Hyderabad, Telangana 500002","Established in 1997, Deccan School of Pharmacy is NAAC-accredited and located in Hyderabad. Its popular event, Pharma Pulse, features industry lectures, skill-building workshops, and cultural performances. Chairman: Dr. Zafar Iqbal."
Nirmala College of Pharmacy,NCP,B.Pharm,TS EAMCET,Available,120000,By Bus,55000,25,4,28,"MBBS: NEET Rank,PG: NEET-PG Qualification",Varies by program,Apply via TS EAMCET followed by counseling,nirmala@pharmacy.edu,"Secunderabad, Hyderabad, Telangana 500003","Established in 2004, NAAC-accredited Nirmala College, located in Kadapa, hosts Pharma Conclave, an event with scientific paper presentations, pharmacology contests, and cultural showcases. Chairman: Dr. V. Bhaskara Reddy."
Shadan College of Pharmacy,SCP,B.Pharm,TS EAMCET,Available,110000,By Bus,56000,55,4.2,30,"MBBS: NEET Rank,PG: NEET-PG Qualification",Varies by program,Apply via TS EAMCET followed by counseling,shadan@pharmacy.edu,"Banjara Hills, Hyderabad, Telangana 500034","Founded in 1994, Shadan College of Pharmacy is NAAC-accredited, located in Hyderabad, and organizes Pharma Expo, highlighting pharmacy advancements, medical camps, and cultural programs. Chairman: Dr. Md. Sadiq Hussain."
Sree Chaitanya College of Pharmacy,SCCP,B.Pharm,TS EAMCET,Available,96000,By Bus,59000,36,4.3,33,"MBBS: NEET Rank,PG: NEET-PG Qualification",Varies by program,Apply via TS EAMCET followed by counseling,sreechaitanya@pharmacy.edu,"LB Nagar, Rangareddy, Telangana 500074","Established in 2004, Sree Chaitanya College in Karimnagar is NAAC-accredited and hosts Pharma Genesis, featuring pharmacology sessions, technical presentations, and cultural performances. Chairman: Dr. P. Rajeshwar Reddy."
Vignan Institute of Pharmaceutical Sciences,VIPS,B.Pharm,TS EAMCET,Available,98000,By Bus,57000,58,4.5,30,"MBBS: NEET Rank,PG: NEET-PG Qualification",Varies by program,Apply via TS EAMCET followed by counseling,vignan@pharmacy.edu," Gachibowli, Rangareddy, Telangana 500032","Founded in 2006, NAAC-accredited and located in Nalgonda, Vignan Institute holds Vignan Pharma Fest, with lectures, workshops, and cultural events focusing on the pharmaceutical field. Chairman: Dr. L. Ramesh Reddy."
